0.000000	0.759341	-0.000000	1.700509	0.680204
0.000800	0.759146	0.000615	1.699901	0.679960
0.001600	0.759146	0.000615	1.699901	0.679960
0.002400	0.759146	0.001846	1.699901	0.679960
0.003201	0.759146	0.001846	1.699901	0.679960
0.004001	0.759145	0.003076	1.699902	0.679959
0.004801	0.759145	0.003076	1.699902	0.679959
0.005601	0.759145	0.004307	1.699902	0.679958
0.006401	0.759145	0.004307	1.699902	0.679958
0.007201	0.759143	0.005537	1.699903	0.679956
0.008002	0.759143	0.005537	1.699903	0.679956
0.008802	0.759142	0.006768	1.699904	0.679955
0.009602	0.759142	0.006768	1.699904	0.679955
0.010402	0.759140	0.007998	1.699905	0.679952
0.011202	0.759140	0.007998	1.699905	0.679952
0.012002	0.759138	0.009229	1.699906	0.679950
0.012803	0.759138	0.009229	1.699906	0.679950
0.013603	0.759135	0.010459	1.699908	0.679947
0.014403	0.759135	0.010459	1.699908	0.679947
0.015203	0.759133	0.011690	1.699910	0.679943
0.016003	0.759133	0.011690	1.699910	0.679943
0.016803	0.759130	0.012920	1.699912	0.679939
0.017604	0.759130	0.012920	1.699912	0.679939
0.018404	0.759126	0.014150	1.699914	0.679935
0.019204	0.759126	0.014150	1.699914	0.679935
0.020004	0.759123	0.015381	1.699916	0.679930
0.020804	0.759123	0.015381	1.699916	0.679930
0.021604	0.759119	0.016611	1.699918	0.679925
0.022404	0.759119	0.016611	1.699918	0.679925
0.023205	0.759114	0.017841	1.699921	0.679920
0.024005	0.759114	0.017841	1.699921	0.679920
0.024805	0.759110	0.019072	1.699924	0.679914
0.025605	0.759110	0.019072	1.699924	0.679914
0.026405	0.759105	0.020302	1.699927	0.679908
0.027205	0.759105	0.020302	1.699927	0.679908
0.028006	0.759100	0.021532	1.699930	0.679902
0.028806	0.759100	0.021532	1.699930	0.679902
0.029606	0.759094	0.022762	1.699934	0.679895
0.030406	0.759094	0.022762	1.699934	0.679895
0.031206	0.759088	0.023993	1.699937	0.679888
0.032006	0.759088	0.023993	1.699937	0.679888
0.032807	0.759082	0.025223	1.699941	0.679880
0.033607	0.759082	0.025223	1.699941	0.679880
0.034407	0.759076	0.026453	1.699945	0.679872
0.035207	0.759076	0.026453	1.699945	0.679872
0.036007	0.759069	0.027683	1.699949	0.679863
0.036807	0.759069	0.027683	1.699949	0.679863
0.037608	0.759062	0.028913	1.699954	0.679855
